NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
H,1,650,0,0,0,51.63
#H,1,650,0,0,0,51.63
H+,1,0,0,0,0,0
H2,2,440,0,0,0,0
#H2,2,440,0,0,0,0
H2+,2,0,0,0,0,0
H3+,3,0,0,0,0,0
HE,4,0,0,0,0,0
HE+,4,0,0,0,0,0
HEH+,5,0,0,0,0,0
C,12,0,0,0,0,0
#C,12,10000,0,0,0,170
C+,12,0,0,0,0,0
CH,13,0,0,0,0,0
CH+,13,0,0,0,0,0
#CH,13,925,0.35,0.7,0.667,142
CH2,14,0,0,0,0,0
CH2+,14,0,0,0,0,0
#CH2,14,1400,0,0.7,0.667,93.2
N,14,0,0,0,0,0
N+,14,0,0,0,0,0
#N,14,720,0,0,0,112.5
CH3,15,0,0,0,0,0
CH3+,15,0,0,0,0,0
#CH3,15,1600,0,0.7,0.667,35.6
NH,15,0,0,0,0,0
NH+,15,0,0,0,0,0
#NH,15,2600,0,0.7,0.667,85.7
#CH4,16,960,0,0.7,0.667,-15.9
CH4,16,0,0,0,0,0
CH4+,16,0,0,0,0,0
NH2,16,0,0,0,0,0
NH2+,16,0,0,0,0,0
#NH2,16,3200,0,0,0,46.2
O,16,0,0,0,0,0
#O,16,1600,0,0,0,59
O+,16,0,0,0,0,0
#NH3,17,5500,0,0,0,-9.3
CH5+,17,0,0,0,0,0
NH3,17,0,0,0,0,0
NH3+,17,0,0,0,0,0
OH,17,0,0,0,0,0
OH+,17,0,0,0,0,0
#OH,17,4600,0,0.7,0.667,8.8
#H2O,18,5600,0,0,0,-57.1
H2O,18,0,0,0,0,0
H2O+,18,0,0,0,0,0
NH4+,18,0,0,0,0,0
H3O+,19,0,0,0,0,0
C2,24,0,0,0,0,0
C2+,24,0,0,0,0,0
MG,24,0,0,0,0,0
MG+,24,0,0,0,0,0
#C2,24,10000,0,0,0,196.6
#MG,24,5300,0,0,0,35
C2H,25,0,0,0,0,0
C2H+,25,0,0,0,0,0
#C2H,25,3000,0,0,0,134.79
#C2H2,26,2587,0,0.1,0.5,54.5
C2H2,26,0,0,0,0,0
C2H2+,26,0,0,0,0,0
CN,26,0,0,0,0,0
CN+,26,0,0,0,0,0
#HCN,27,3700,0,0.1,0.5,31.6
#HNC,27,3800,0,0.1,0.5,46.4
C2H3,27,0,0,0,0,0
HCN,27,0,0,0,0,0
HCN+,27,0,0,0,0,0
HNC,27,0,0,0,0,0
